"","C.Acidobacteria.01","Iamia.01","F.Acidimicrobiales.01","Actinomyces.01","F.Actinomycetaceae.01","F.Actinomycetaceae.02","Actinopolyspora.01","Alloscardovia.01","Bifidobacterium.01","Corynebacterium.01","Corynebacterium.02","F.Corynebacteriaceae.01","F.Corynebacteriaceae.02","Mycobacterium.01","Gordonia.01","O.Corynebacteriales.01","Blastococcus.01","F.Sporichthyaceae.01","Quadrisphaera.01","Brachybacterium.01","Yimella.01","Aquipuribacter.01","Janibacter.01","F.Intrasporangiaceae.01","Frigoribacterium.01","Microbacterium.01","Arthrobacter.01","Kocuria.01","Micrococcus.01","Nesterenkonia.01","Rothia.01","Sanguibacter.01","O.Micrococcales.01","Nocardioides.01","Friedmanniella.01","Microlunatus.01","Propionibacterium.01","Propioniciclava.01","F.Propionibacteriaceae.01","F.Propionibacteriaceae.02","Pseudonocardia.01","Streptomyces.01","Nocardiopsis.01","C.Actinobacteria.01","Atopobium.01","Eggerthella.01","Olsenella.01","Slackia.01","F.Coriobacteriaceae.01","O.Gaiellales.01","P.Actinobacteria.01","Porphyromonas.01","Tannerella.01","F.Porphyromonadaceae.01","Alloprevotella.01","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","F.Prevotellaceae.01","RikenellaceaeRC9gutgroup.01","O.Bacteroidales.01","Hymenobacter.01","Nibribacter.01","Pontibacter.01","Salinibacter.01","Bergeyella.01","Capnocytophaga.01","Chryseobacterium.01","Cloacibacterium.01","Flavobacterium.01","F.Flavobacteriaceae.01","F.NS11.12marinegroup.01","Pedobacter.01","F.WCHB1.69.01","P.Bacteroidetes.01","Camelinasativa.01","C.Chloroplast.01","C.Chloroplast.02","Pleurocapsa.01","Deinococcus.01","Bacillus.01","Oceanobacillus.01","Salimicrobium.01","Gemella.01","Exiguobacterium.01","Planococcus.01","Planomicrobium.01","F.Planococcaceae.01","Aliicoccus.01","Jeotgalicoccus.01","Salinicoccus.01","Staphylococcus.01","Planifilum.01","Shimazuella.01","O.Bacillales.01","Abiotrophia.01","Aerosphaera.01","Alloiococcus.01","Atopostipes.01","Carnobacterium.01","Dolosigranulum.01","Granulicatella.01","F.Carnobacteriaceae.01","Enterococcus.01","Lactobacillus.01","Fructobacillus.01","Streptococcus.01","O.Lactobacillales.01","O.RS.F29.01","C.Bacilli.01","Clostridiumsensustricto.01","Proteiniclasticum.01","F.ClostridialesvadinBB60group.01","Anaerococcus.01","Finegoldia.01","Parvimonas.01","Peptoniphilus.01","FamilyXIIIUCG.001.01","Mogibacterium.01","X.Eubacterium.brachygroup.01","X.Eubacterium.nodatumgroup.01","F.FamilyXIII.01","F.FamilyXIII.02","Anaerostipes.01","Blautia.01","Butyrivibrio.01","Catonella.01","Dorea.01","Fusicatenibacter.01","Johnsonella.01","Lachnoanaerobaculum.01","Lachnospira.01","LachnospiraceaeNK4A136group.01","LachnospiraceaeUCG.008.01","Oribacterium.01","Pseudobutyrivibrio.01","Roseburia.01","Stomatobaculum.01","X.Eubacterium.halliigroup.01","X.Eubacterium.ventriosumgroup.01","X.Ruminococcus.gauvreauiigroup.01","F.Lachnospiraceae.01","F.Lachnospiraceae.02","Peptococcus.01","Filifactor.01","Peptoclostridium.01","Peptostreptococcus.01","F.Peptostreptococcaceae.01","Faecalibacterium.01","Ruminiclostridium.01","Ruminococcaceae.01","Ruminococcaceae.02","Ruminococcus.01","Subdoligranulum.01","F.Ruminococcaceae.01","O.Clostridiales.01","F.Thermoanaerobacteraceae.01","Bulleidia.01","ErysipelotrichaceaeUCG.006.01","Solobacterium.01","Phascolarctobacterium.01","Anaerovibrio.01","Centipeda.01","Dialister.01","Megasphaera.01","Selenomonas.01","Selenomonas.02","Veillonella.01","F.Veillonellaceae.01","F.Veillonellaceae.02","P.Firmicutes.01","Fusobacterium.01","Leptotrichia.01","O.Fusobacteriales.01","Brevundimonas.01","Caulobacter.01","Phenylobacterium.01","F.Caulobacteraceae.01","O.OCS116clade.01","Aureimonas.01","Bosea.01","Bradyrhizobium.01","Devosia.01","Methylobacterium.01","Mesorhizobium.01","F.Phyllobacteriaceae.01","Rhizobium.01","O.Rhizobiales.01","Paracocccus.01","Rubellimicrobium.01","Stappia.01","F.Rhodobacteraceae.01","Achromobacter.01","Alcaligenes.01","F.Alcaligenaceae.01","Burkholderia.01","Lautropia.01","Ralstonia.01","F.Burkholderiaceae.01","Acidovorax.01","Comamonas.01","Delftia.01","Hydrogenophaga.01","Ottowia.01","Pelomonas.01","Roseateles.01","Schlegelella.01","Tepidimonas.01","Variovorax.01","F.Comamonadaceae.01","Massilia.01","F.Oxalobacteraceae.01","O.Burkholderiales.01","F.Methylophilaceae.01","Kingella.01","Neisseria.01","F.Neisseriaceae.01","F.Neisseriaceae.02","Propionivibrio.01","C.Betaproteobacteria.01","Bdellovibrio.01","Aeromonas.01","Cardiobacterium.01","Cellvibrio.01","Enterobacter.01","Escherichia.Shigella.01","Proteus.01","F.Enterobacteriaceae.01","Alcanivorax.01","Halomonas.01","O.Oceanospirillales.01","Actinobacillus.01","Aggregatibacter.01","Haemophilus.01","Acinetobacter.01","Alkanindiges.01","Moraxella.01","Psychrobacter.01","Pseudomonas.01","O.Pseudomonadales.01","Lysobacter.01","Silanimonas.01","Stenotrophomonas.01","Thermomonas.01","F.Xanthomonadaceae.01","C.Gammaproteobacteria.01","P.Proteobacteria.01","CandidatusSaccharimonas.01","P.Saccharibacteria.01","Treponema2.01","Fretibacterium.01","Mycoplasma.01","Akkermansia.01","K.Bacteria.01","Unassigned"
"C.Acidobacteria.01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.530687391757965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.552544295787811,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530687391757965,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,1,1,0,0,0,0.721110284328461,0,0,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iamia.01",0,1,0,0,0,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F.Acidimicrobiales.01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.530687391757965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.663421452045441,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces.01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640889704227448,0,0,0,0,0,-0.561805427074432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568559765815735,0.504373729228973,0,0.654463589191437,0.590745210647583,0,0,0.670069515705109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633997797966003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580680370330811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556117653846741,0,0,0,0,0,0,0,0.536819577217102,0,0,0,0.524707734584808,0,0,0,0.60023421049118,0,0,0.576252281665802,0,0,0,0,0.504661560058594,0,0,0,0.674952805042267,0,0,0,0,0,0,0,0,0,0,0,0,0.658993899822235,0,0,0,0,0,0.538847148418427,0.615022003650665,0.608541548252106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609876334667206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498203665018082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660142004489899,0,0,0,0,0,0
"F.Actinomycetaceae.01",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0.538402497768402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53559422492981,0.600591659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684857845306396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507020175457001,0,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552544295787811,0,0,0,0,0,0,0.600591659545898,0,0,0,0.539383172988892,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641036450862885,0,0,0,0,0
"F.Actinomycetaceae.02",0,0,0,0,0,1,0,0.552544295787811,0,0,0,0,0,0,0,0,0,0,0.651498317718506,0,0,0,0.504496991634369,0.504496991634369,0,0,0,0,0,0,0,0,0.651498317718506,0,0,0,0,0,0,0.562919914722443,0,0.647058844566345,0,0,0,0,0,0.536441087722778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618201971054077,0,0.600591659545898,0,0,0,0,0,0,0,0,0.600591659545898,0,0,0,0,0.504496991634369,0,0,0,0,0.504078090190887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587874054908752,0,0.620421767234802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634807288646698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopolyspora.01",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530687391757965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590148627758026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530687391757965,0,0,0,0,0.530687391757965,0,0,0,0,0,0,0,0,0,0
"Alloscardovia.01",0,0,0,0,0,0.552544295787811,0,1,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552544295787811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663421452045441,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0.663421452045441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504496991634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium.01",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.552544295787811,0,0.530687391757965,0,0,0,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.721110284328461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663421452045441,0,0,0,0,0,0,0,0,0,0,0,1,1,0.663421452045441,0,0,1,0.663421452045441,0.530687391757965,0,0,1,0,0,1,1,0,1,1,0.663421452045441,0,0,0,0,0.504496991634369,0,0.721110284328461,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663421452045441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Corynebacterium.01",0,0,0,0,0,0,0,0,0,1,0,0,0.527632832527161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598916053771973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
